EDC;block;species;Treenum;Date;Height(cm);Stem diameter(mm)
1;1;Acer saccharinum;1;24/11/1993;37;3
1;1;Acer saccharinum;1;26/09/1994;59;7
1;1;Acer saccharinum;1;18/10/1995;81;11
1;1;Acer saccharinum;1;07/11/1996;103;15
1;1;Acer saccharinum;1;30/10/1997;183;29
1;1;Acer saccharinum;1;24/03/1999;239;39
1;1;Acer saccharinum;2;24/11/1993;45;3
1;1;Acer saccharinum;2;26/09/1994;47;6
1;1;Acer saccharinum;2;18/10/1995;99;13
1;1;Acer saccharinum;2;07/11/1996;145;21
1;1;Acer saccharinum;2;30/10/1997;213;36
1;1;Acer saccharinum;2;24/03/1999;227;50
1;1;Acer saccharinum;3;24/11/1993;51;4
1;1;Acer saccharinum;3;26/09/1994;43;5
1;1;Acer saccharinum;3;18/10/1995;49;6
1;1;Acer saccharinum;3;07/11/1996;47;6
1;1;Acer saccharinum;3;30/10/1997;69;10
1;1;Acer saccharinum;3;24/03/1999;115;11
1;1;Acer saccharinum;4;24/11/1993;51;4
1;1;Acer saccharinum;4;26/09/1994;85;11
1;1;Acer saccharinum;4;18/10/1995;133;17
1;1;Acer saccharinum;4;07/11/1996;145;24
1;1;Acer saccharinum;4;30/10/1997;225;32
1;1;Acer saccharinum;4;24/03/1999;279;45
1;1;Acer saccharinum;5;24/11/1993;37;3
1;1;Acer saccharinum;5;26/09/1994;63;9
1;1;Acer saccharinum;5;18/10/1995;121;19
1;1;Acer saccharinum;5;07/11/1996;139;27
1;1;Acer saccharinum;5;30/10/1997;189;43
1;1;Acer saccharinum;5;24/03/1999;287;36
1;1;Acer saccharinum;6;24/11/1993;39;3
1;1;Acer saccharinum;6;26/09/1994;47;7
1;1;Acer saccharinum;6;18/10/1995;65;11
1;1;Acer saccharinum;6;07/11/1996;87;16
1;1;Acer saccharinum;6;30/10/1997;133;25
1;1;Acer saccharinum;6;24/03/1999;197;36
1;1;Acer saccharinum;7;24/11/1993;49;4
1;1;Acer saccharinum;7;26/09/1994;73;10
1;1;Acer saccharinum;7;18/10/1995;119;17
1;1;Acer saccharinum;7;07/11/1996;143;26
1;1;Acer saccharinum;7;30/10/1997;231;41
1;1;Acer saccharinum;7;24/03/1999;329;54
1;1;Acer saccharinum;8;24/11/1993;47;3
1;1;Acer saccharinum;8;26/09/1994;57;7
1;1;Acer saccharinum;8;18/10/1995;75;10
1;1;Acer saccharinum;8;07/11/1996;73;11
1;1;Acer saccharinum;8;30/10/1997;101;24
1;1;Acer saccharinum;8;24/03/1999;175;18
1;1;Acer saccharinum;9;24/11/1993;43;3
1;1;Acer saccharinum;9;26/09/1994;61;10
1;1;Acer saccharinum;9;18/10/1995;109;17
1;1;Acer saccharinum;9;07/11/1996;113;20
1;1;Acer saccharinum;9;30/10/1997;169;29
1;1;Acer saccharinum;9;24/03/1999;217;35
1;1;Acer saccharinum;10;24/11/1993;47;4
1;1;Acer saccharinum;10;26/09/1994;63;8
1;1;Acer saccharinum;10;18/10/1995;109;14
1;1;Acer saccharinum;10;07/11/1996;117;18
1;1;Acer saccharinum;10;30/10/1997;185;28
1;1;Acer saccharinum;10;24/03/1999;237;33
1;1;Acer saccharinum;11;24/11/1993;49;3
1;1;Acer saccharinum;11;26/09/1994;65;8
1;1;Acer saccharinum;11;18/10/1995;93;14
1;1;Acer saccharinum;11;07/11/1996;95;15
1;1;Acer saccharinum;11;30/10/1997;155;28
1;1;Acer saccharinum;11;24/03/1999;211;29
1;1;Acer saccharinum;12;24/11/1993;33;3
1;1;Acer saccharinum;12;26/09/1994;61;9
1;1;Acer saccharinum;12;18/10/1995;77;11
1;1;Acer saccharinum;12;07/11/1996;77;14
1;1;Acer saccharinum;12;30/10/1997;97;17
1;1;Acer saccharinum;12;24/03/1999;161;14
1;1;Acer saccharinum;13;24/11/1993;51;5
1;1;Acer saccharinum;13;26/09/1994;79;9
1;1;Acer saccharinum;13;18/10/1995;121;15
1;1;Acer saccharinum;13;07/11/1996;159;24
1;1;Acer saccharinum;13;30/10/1997;261;40
1;1;Acer saccharinum;13;24/03/1999;303;48
1;1;Acer saccharinum;14;24/11/1993;49;3
1;1;Acer saccharinum;14;26/09/1994;69;8
1;1;Acer saccharinum;14;18/10/1995;85;10
1;1;Acer saccharinum;14;07/11/1996;85;16
1;1;Acer saccharinum;14;30/10/1997;111;18
1;1;Acer saccharinum;14;24/03/1999;159;18
1;1;Acer saccharinum;15;24/11/1993;57;4
1;1;Acer saccharinum;15;26/09/1994;103;10
1;1;Acer saccharinum;15;18/10/1995;137;17
1;1;Acer saccharinum;15;07/11/1996;165;21
1;1;Acer saccharinum;15;30/10/1997;257;34
1;1;Acer saccharinum;15;24/03/1999;307;47
1;1;Acer saccharinum;16;24/11/1993;55;4
1;1;Acer saccharinum;16;26/09/1994;71;10
1;1;Acer saccharinum;16;18/10/1995;109;16
1;1;Acer saccharinum;16;07/11/1996;141;21
1;1;Acer saccharinum;16;30/10/1997;257;39
1;1;Acer saccharinum;16;24/03/1999;339;62
1;1;Acer saccharinum;17;24/11/1993;41;4
1;1;Acer saccharinum;17;26/09/1994;71;11
1;1;Acer saccharinum;17;18/10/1995;95;15
1;1;Acer saccharinum;17;07/11/1996;111;19
1;1;Acer saccharinum;17;30/10/1997;177;34
1;1;Acer saccharinum;17;24/03/1999;257;47
1;1;Acer saccharinum;18;24/11/1993;41;3
1;1;Acer saccharinum;18;26/09/1994;83;11
1;1;Acer saccharinum;18;18/10/1995;107;15
1;1;Acer saccharinum;18;07/11/1996;115;19
1;1;Acer saccharinum;18;30/10/1997;171;31
1;1;Acer saccharinum;18;24/03/1999;245;44
1;1;Acer saccharinum;19;24/11/1993;33;3
1;1;Acer saccharinum;19;26/09/1994;81;11
1;1;Acer saccharinum;19;18/10/1995;137;20
1;1;Acer saccharinum;19;07/11/1996;149;26
1;1;Acer saccharinum;19;30/10/1997;197;39
1;1;Acer saccharinum;19;24/03/1999;251;49
1;1;Acer saccharinum;20;24/11/1993;35;3
1;1;Acer saccharinum;20;26/09/1994;41;7
1;1;Acer saccharinum;20;18/10/1995;51;7
1;1;Acer saccharinum;20;07/11/1996;47;6
1;1;Acer saccharinum;20;30/10/1997;Tree removed;Tree removed
1;1;Acer saccharinum;20;24/03/1999;Dead;Dead
1;1;Acer saccharinum;21;24/11/1993;45;3
1;1;Acer saccharinum;21;26/09/1994;57;7
1;1;Acer saccharinum;21;18/10/1995;83;10
1;1;Acer saccharinum;21;07/11/1996;107;11
1;1;Acer saccharinum;21;30/10/1997;167;26
1;1;Acer saccharinum;21;24/03/1999;275;28
1;1;Acer saccharinum;22;24/11/1993;47;3
1;1;Acer saccharinum;22;26/09/1994;65;8
1;1;Acer saccharinum;22;18/10/1995;81;12
1;1;Acer saccharinum;22;07/11/1996;105;19
1;1;Acer saccharinum;22;30/10/1997;161;33
1;1;Acer saccharinum;22;24/03/1999;217;48
1;1;Acer saccharinum;23;24/11/1993;53;4
1;1;Acer saccharinum;23;26/09/1994;91;11
1;1;Acer saccharinum;23;18/10/1995;145;18
1;1;Acer saccharinum;23;07/11/1996;173;27
1;1;Acer saccharinum;23;30/10/1997;215;32
1;1;Acer saccharinum;23;24/03/1999;291;56
1;1;Acer saccharinum;24;24/11/1993;39;3
1;1;Acer saccharinum;24;26/09/1994;65;10
1;1;Acer saccharinum;24;18/10/1995;83;12
1;1;Acer saccharinum;24;07/11/1996;89;13
1;1;Acer saccharinum;24;30/10/1997;93;14
1;1;Acer saccharinum;24;24/03/1999;139;14
1;1;Acer saccharinum;25;24/11/1993;57;4
1;1;Acer saccharinum;25;26/09/1994;75;10
1;1;Acer saccharinum;25;18/10/1995;91;10
1;1;Acer saccharinum;25;07/11/1996;107;13
1;1;Acer saccharinum;25;30/10/1997;161;19
1;1;Acer saccharinum;25;24/03/1999;259;23
1;1;Acer saccharinum;26;24/11/1993;57;3
1;1;Acer saccharinum;26;26/09/1994;81;8
1;1;Acer saccharinum;26;18/10/1995;123;12
1;1;Acer saccharinum;26;07/11/1996;155;19
1;1;Acer saccharinum;26;30/10/1997;129;33
1;1;Acer saccharinum;26;24/03/1999;345;35
1;1;Acer saccharinum;27;24/11/1993;37;3
1;1;Acer saccharinum;27;26/09/1994;85;10
1;1;Acer saccharinum;27;18/10/1995;113;12
1;1;Acer saccharinum;27;07/11/1996;117;16
1;1;Acer saccharinum;27;30/10/1997;155;19
1;1;Acer saccharinum;27;24/03/1999;215;28
1;1;Acer saccharinum;28;24/11/1993;43;3
1;1;Acer saccharinum;28;26/09/1994;85;9
1;1;Acer saccharinum;28;18/10/1995;105;10
1;1;Acer saccharinum;28;07/11/1996;117;12
1;1;Acer saccharinum;28;30/10/1997;159;17
1;1;Acer saccharinum;28;24/03/1999;223;23
1;1;Acer saccharinum;29;24/11/1993;47;4
1;1;Acer saccharinum;29;26/09/1994;99;10
1;1;Acer saccharinum;29;18/10/1995;121;15
1;1;Acer saccharinum;29;07/11/1996;125;19
1;1;Acer saccharinum;29;30/10/1997;197;20
1;1;Acer saccharinum;29;24/03/1999;239;41
1;1;Acer saccharinum;30;24/11/1993;41;3
1;1;Acer saccharinum;30;26/09/1994;61;8
1;1;Acer saccharinum;30;18/10/1995;89;10
1;1;Acer saccharinum;30;07/11/1996;83;15
1;1;Acer saccharinum;30;30/10/1997;123;18
1;1;Acer saccharinum;30;24/03/1999;197;26
1;1;Acer saccharinum;31;24/11/1993;49;3
1;1;Acer saccharinum;31;26/09/1994;69;9
1;1;Acer saccharinum;31;18/10/1995;81;12
1;1;Acer saccharinum;31;07/11/1996;85;15
1;1;Acer saccharinum;31;30/10/1997;143;23
1;1;Acer saccharinum;31;24/03/1999;171;25
1;1;Acer saccharinum;32;24/11/1993;37;3
1;1;Acer saccharinum;32;26/09/1994;57;7
1;1;Acer saccharinum;32;18/10/1995;63;10
1;1;Acer saccharinum;32;07/11/1996;75;17
1;1;Acer saccharinum;32;30/10/1997;129;20
1;1;Acer saccharinum;32;24/03/1999;171;20
1;1;Acer saccharinum;33;24/11/1993;31;3
1;1;Acer saccharinum;33;26/09/1994;35;6
1;1;Acer saccharinum;33;18/10/1995;41;6
1;1;Acer saccharinum;33;07/11/1996;45;10
1;1;Acer saccharinum;33;30/10/1997;77;8
1;1;Acer saccharinum;33;24/03/1999;Dead;Dead
1;1;Acer saccharinum;34;24/11/1993;45;3
1;1;Acer saccharinum;34;26/09/1994;71;10
1;1;Acer saccharinum;34;18/10/1995;77;11
1;1;Acer saccharinum;34;07/11/1996;77;11
1;1;Acer saccharinum;34;30/10/1997;105;14
1;1;Acer saccharinum;34;24/03/1999;131;17
1;1;Acer saccharinum;35;24/11/1993;31;3
1;1;Acer saccharinum;35;26/09/1994;29;5
1;1;Acer saccharinum;35;18/10/1995;31;6
1;1;Acer saccharinum;35;07/11/1996;43;9
1;1;Acer saccharinum;35;30/10/1997;87;13
1;1;Acer saccharinum;35;24/03/1999;107;17
1;1;Acer saccharinum;36;24/11/1993;39;3
1;1;Acer saccharinum;36;26/09/1994;53;7
1;1;Acer saccharinum;36;18/10/1995;49;9
1;1;Acer saccharinum;36;07/11/1996;59;10
1;1;Acer saccharinum;36;30/10/1997;103;14
1;1;Acer saccharinum;36;24/03/1999;155;14
1;1;Acer saccharinum;37;24/11/1993;55;4
1;1;Acer saccharinum;37;26/09/1994;53;8
1;1;Acer saccharinum;37;18/10/1995;79;10
1;1;Acer saccharinum;37;07/11/1996;93;15
1;1;Acer saccharinum;37;30/10/1997;149;23
1;1;Acer saccharinum;37;24/03/1999;219;33
1;1;Acer saccharinum;38;24/11/1993;37;3
1;1;Acer saccharinum;38;26/09/1994;Dead;Dead
1;1;Acer saccharinum;38;18/10/1995;Dead;Dead
1;1;Acer saccharinum;38;07/11/1996;Tree removed;Tree removed
1;1;Acer saccharinum;38;30/10/1997;Tree removed;Tree removed
1;1;Acer saccharinum;38;24/03/1999;Dead;Dead
1;1;Acer saccharinum;39;24/11/1993;45;3
1;1;Acer saccharinum;39;26/09/1994;57;9
1;1;Acer saccharinum;39;18/10/1995;103;17
1;1;Acer saccharinum;39;07/11/1996;141;29
